Id,Reputation
"23225","20066"
"23226","967"
"23275","35337"
"23282","2842"
"23307","4020"
"16691","13194"
"15422","9164"
"14498","773"
"12694","3022"
"12500","3607"
"12408","32549"
"12363","5561"
"11661","16672"
"11475","36611"
"11442","53290"
"11395","20079"
"11379","3844"
"11363","5813"
"10796","36611"
"10770","30700"
"10451","12048"
"10450","36611"
"10445","94267"
"46927339","7154"
"31521586","18926"
"31072703","121"
"7945834","21526"
"2994071","6044"
"2463888","1508"
"1070105","169"
"382569","2160"
"134886","17540"
"29794","28306"
"24161","925"
"13858","224"
"9214","8485"
"8051","5203"
"8035","7559"
"7988","13194"
"6572","25476"
"6566","167078"
"6405","775"
"4192","11754"
"3750","11754"
"17989","11089"
"17987","100890"
"21594","16580"
"18202","35543"
"20752","6421"
"18004","53290"
"17999","6421"
"17995","11587"
"17992","8083"
"15915","4889"
"15876","150072"
"15849","2164"
"15846","10773"
"14999","9862"
"14290","30929"
"13987","78731"
"12513","48117"
"12507","32549"
"12506","3342"
"11335","3533"
"10829","46539"
"10686","30700"
"10684","36611"
"10676","36611"
"10521","36611"
"10331","150072"
"10327","46258"
"30221946","361"
"24623778","1452"
"22743208","443"
"22734721","16683"
"12833401","112"
"6354112","1269"
"1998702","6541"
"1916200","71958"
"1443907","1339"
"343160","990"
"220594","501719"
"88898","20454"
"42723","186"
"37358","2007"
"36644","2785"
"24260","36428"
"18066","10620"
"12816","7636"
"12532","20219"
"12064","6987"
"11269","7559"
"10518","4071"
"9421","4766"
"9411","3807"
"8679","53290"
"8384","6077"
"8273","78731"
"8247","36611"
"8244","16904"
"8241","9604"
"8237","10454"
"8075","7559"
"7637","30700"
"7636","5624"
"7632","586047"
"7117","46539"
"4838","1515"
"4834","53094"
"4833","7234"
"4832","10829"
"4829","16365"
"17226","8083"
"23371","2282"
"23442","3459"
"23585","13847"
"24138","925"
"24150","925"
"24158","925"
"24372","6987"
"24455","2049"
"24465","7395"
"24466","359"
"24475","357712"
"24476","8642"
"24511","20104"
"24513","13934"
"24537","3697"
"24856","7383"
"24858","150072"
"24874","4396"
"24882","4396"
"24884","10632"
"24887","150072"
"24888","68030"
"24893","109737"
"24895","13194"
"24908","150072"
"24912","5561"
"24918","1151"
"24922","23856"
"25002","10538"
"25068","3697"
"25077","6633"
"25081","47375"
"25281","53290"
"25482","39157"
"25598","167078"
"25630","1917"
"25657","2102"
"25658","5929"
"25668","48117"
"25747","11621"
"25828","25048"
"25831","8673"
"25892","37517"
"26121","33048"
"26142","19905"
"26299","967"
"26326","23856"
"26378","696"
"26976","4022"
"26981","16038"
"26999","78731"
"27001","2845"
"27105","40729"
"27415","6077"
"27418","8588"
"27479","5929"
"27481","5180"
"27483","5929"
"27545","13934"
"27552","1078"
"27781","719"
"27789","27208"
"27878","41111"
"27886","5733"
"28013","1963"
"28443","36611"
"28569","13654"
"28625","13934"
"28651","32549"
"28725","992"
"29300","2102"
"29443","225096"
"29909","7755"
"33300","59920"
"36792","12810"
"38105","6137"
"38537","1000"
"39306","11845"
"41538","16036"
"42487","4735"
"42775","186"
"50266","29576"
"54042","63997"
"54940","1271"
"55632","73727"
"64276","81"
"41706","42545"
"32475","19020"
"1774688","106382"
"48023","5351"
"47236","2604"
"49217","36301"
"29504","150072"
"37539","150072"
"49237","30700"
"58771","27208"
"53486","2721"
"53445","35337"
"53174","35337"
"49061","2845"
"42754","2845"
"41422","17346"
"42133","254516"
"48093","25358"
"28618","13654"
"33212","40729"
"42673","2297"
"63304","1155"
"38207","8482"
"28689","3533"
"28634","3533"
"74791","4071"
"33722","23432"
"29514","8588"
"33206","15562"
"43089","53094"
"53175","53094"
"51044","53094"
"62723","53094"
"61948","4766"
"73263","4766"
"60560","9737"
"47939","9737"
"35068","775"
"29463","2537"
"48075","61009"
"49285","61009"
"34651","118369"
"38229","118369"
"47990","109737"
"47928","8444"
"28627","20066"
"56818","41111"
"33208","11587"
"42316","11587"
"29532","4027"
"39518","1385"
"34650","1385"
"60873","925"
"56348","586047"
"35336","586047"
"33202","586047"
"37541","6077"
"49531","6077"
"41413","38877"
"53765","32549"
"29859","5561"
"1774683","94267"
"196172","135"
"61572","750"
"47955","750"
"41497","750"
"43486","750"
"35036","53290"
"29467","53290"
"57235","53290"
"152941","7817"
"58737","88803"
"53823","88803"
"53759","88803"
"49202","88803"
"68252","88803"
"68253","123592"
"28563","123592"
"47984","7804"
"54181","10773"
"64710","2021"
"66515","257725"
"281877","10620"
"69454","10620"
"74375","18792"
"2022807","28929"
"42705","344"
"33211","23327"
"52615","22189"
"51677","9341"
"39590","9341"
"34796","9341"
"28672","14338"
"28619","14338"
"64733","78521"
"28780","100890"
"53462","91751"
"268356","43250"
"42712","16078"
"33297","2282"
"63854","16793"
"56541","33048"
"56822","17787"
"38570","15053"
"38526","40798"
"53900","40798"
"53815","40798"
"39526","101133"
"42767","101133"
"39478","357712"
"41414","357712"
"34758","357712"
"28617","357712"
"53819","357712"
"53763","357712"
"53298","1038"
"39479","7509"
"37691","13934"
"29039","13934"
"49656","13934"
"51080","13934"
"47358","13934"
"28566","6421"
"28714","6421"
"29492","1963"
"42764","4399"
"35994","3915"
"53871","3915"
"65614","348"
"48027","4735"
"48079","74864"
"49245","38032"
"41708","38032"
"33213","38032"
"35362","20938"
"36933","20938"
"61626","20938"
"36942","3973"
"42513","13111"
"68258","7395"
"49234","1654"
"38208","72355"
"30713","72355"
"42776","16261"
"64717","6609"
"53546","5430"
"35328","5430"
"68257","5430"
"49241","10335"
"49055","10335"
"48031","2785"
"48024","16038"
"40596","16038"
"64924","10109"
"29656","1133"
"29693","1133"
"30840","25533"
"63284","25533"
"32506","283"
"28621","63997"
"48033","63997"
"48103","63997"
"51671","63997"
"29623","1186"
"53781","13589"
"29620","719"
"37545","15928"
"29989","7317"
"28580","46172"
"29659","1068"
"28661","1425"
"28568","1964"
"37455","5864"
"42324","5864"
"61578","2323"
"48180","1071"
"53434","88526"
"43102","88526"
"38416","88526"
"107431","88526"
"29657","181"
"29508","181"
"47211","225096"
"53509","3620"
"55877","3620"
"35752","3620"
"30343","1618"
"53443","14541"
"31594","299"
"31578","299"
"40367","299"
"65099","16016"
"48058","126363"
"53762","126363"
"31587","3952"
"56550","17424"
"56535","17424"
"38187","1652"
"48030","17304"
"33230","171"
"33216","885"
"33219","16036"
"58804","16036"
"56649","16036"
"53184","201214"
"48090","4887"
"49129","4887"
"47961","4887"
"38234","4887"
"68264","4887"
"34097","23425"
"37084","23543"
"60138","10858"
"37452","140188"
"47071","140188"
"66439","140188"
"58747","23106"
"60555","34003"
"56713","34003"
"52586","34003"
"38566","34003"
"35027","3837"
"42704","186"
"38044","1241"
"35454","1284"
"36016","6964"
"65254","469"
"54975","1271"
"64908","12810"
"36910","900"
"39878","18929"
"39865","18929"
"38776","4305"
"49502","10144"
"39286","2925"
"66477","2925"
"55663","73727"
"43161","73727"
"55584","73727"
"53797","73727"
"58342","1329"
"49227","4339"
"39589","5516"
"42405","3155"
"39871","4512"
"47073","1071"
"426415","220105"
"53925","6765"
"57055","4693"
"45963","8246"
"41794","8246"
"999442","2143"
"57005","1888"
"56514","1888"
"55592","1526"
"49246","2382"
"56825","20206"
"48074","1211"
"45551","2751"
"45573","2751"
"45602","27207"
"58777","27207"
"53833","27207"
"64915","27207"
"64528","13358"
"52571","13358"
"107412","6138"
"52590","2948"
"48078","5935"
"48091","5935"
"47074","2603"
"65921","9922"
"53229","541"
"50673","1656"
"65775","1656"
"66887","10997"
"52569","53463"
"49247","1649"
"53826","1649"
"49248","2083"
"59553","702"
"61481","13399"
"53429","10961"
"52727","5642"
"60567","184671"
"60553","184671"
"53761","184671"
"53825","6948"
"54243","1687"
"61745","1687"
"58055","1687"
"64422","1687"
"61945","5933"
"60568","5933"
"56829","20443"
"56513","4262"
"62839","2531"
"58072","482"
"64604","4335"
"64727","5953"
"64985","24975"
"57553","24975"
"64725","14008"
"61569","5820"
"64988","11471"
"149326","243"
"64755","19089"
"63633","8495"
"62919","8495"
"64713","51091"
"64923","51091"
"63024","4184"
"63033","241"
"64166","6635"
"63209","19700"
"63220","47"
"63195","47"
"63087","47"
"63088","894"
"65252","13608"
"65918","385"
"67838","11739"
"76234","18712"
"68284","8433"
"68259","10082"
"64964","44603"
"70906","3365"
"1774711","141918"
"87056","26999"
"74332","12289"
"64626","12289"
"107181","58894"
"107193","58894"
"87178","22937"
"77092","6241"
"67718","859"
"64963","3751"
"64911","12510"
"164182","11"
"65240","39"
"68261","42195"
"66665","42195"
"67088","554"
"65852","10795"
"66828","9640"
"68267","7101"
"65845","272940"
"1021266","3145"
"67842","3145"
"67046","1827"
"67308","280"
"67312","1006"
"67428","201"
"68003","1686"
