Id,UpVotes,DownVotes
"47221066","8","1"
"47220955","2","0"
"47220901","1","0"
"47220895","2","0"
"47220875","1","0"
"47220838","1","0"
"47220837","1","0"
"47220819","1","0"
"47220691","4","0"
"47220668","1","0"
"47220643","2","0"
"47220620","2","1"
"47220560","1","0"
"47220474","1","0"
"47220390","2","0"
"47220358","2","0"
"47220302","1","2"
"47220210","1","0"
"47220209","1","0"
"47220185","1","0"
"47220180","1","0"
"47220162","1","0"
"47220156","1","0"
"47220150","1","0"
"47220146","1","0"
"47220145","1","0"
"47220127","1","0"
"47220116","3","1"
"47220107","1","1"
"47220055","1","0"
"47219990","1","0"
"47219955","1","0"
"47219942","3","0"
"47219905","1","0"
"47219849","0","1"
"47219765","3","0"
"47219718","1","0"
"47219700","1","0"
"47219698","1","0"
"47219685","3","0"
"47219673","1","0"
"47219574","2","0"
"47219522","1","0"
"47219492","1","0"
"47219456","1","0"
"47219404","1","0"
"47219346","1","0"
"47219162","1","0"
"47219160","1","0"
"47219086","1","0"
"47219059","1","0"
"47218875","1","0"
"47218815","1","0"
"47218717","1","0"
"47218649","1","0"
"47218476","1","0"
"47218450","1","0"
"47218360","1","0"
"47218349","1","0"
"47218344","1","0"
"47218319","1","0"
"47218229","1","0"
"47218102","2","0"
"47218098","1","0"
"47218055","1","0"
"47217876","1","0"
"47217845","1","0"
"47217836","3","0"
"47217832","1","0"
"47217668","4","0"
"47217646","1","0"
"47217638","1","0"
"47217629","2","0"
"47217581","2","0"
"47217421","1","0"
"47217419","1","0"
"47217333","1","0"
"47217306","1","0"
"47217210","2","0"
"47217167","4","1"
"47217136","1","0"
"47217107","2","0"
"47216995","1","0"
"47216863","1","0"
"47216857","1","0"
"47216783","3","0"
"47216762","3","0"
"47216761","1","0"
"47216741","1","0"
"47216583","1","0"
"47216573","1","0"
"47216550","1","0"
"47216545","1","0"
"47216449","1","0"
"47216432","1","1"
"47216397","1","0"
"47216345","2","0"
"47216291","0","1"
"47216268","1","0"
"47216178","1","0"
"47216163","1","0"
"47216147","1","0"
"47216140","2","0"
"47216108","1","0"
"47216093","2","0"
"47216076","3","0"
"47216051","1","0"
"47216021","2","0"
"47215886","2","0"
"47215791","0","1"
"47215771","2","0"
"47215753","1","0"
"47215708","2","0"
"47215649","2","1"
"47215509","5","0"
"47215463","2","0"
"47215426","1","0"
"47215395","1","0"
"47215384","2","0"
"47215373","1","0"
"47215362","1","0"
"47215307","1","0"
"47215286","1","0"
"47215155","1","0"
"47215079","2","0"
"47215028","1","0"
"47215021","2","0"
"47215012","1","0"
"47214916","2","0"
"47214818","1","0"
"47214816","2","0"
"47214810","1","0"
"47214706","1","0"
"47214619","1","0"
"47214614","1","0"
"47214555","1","0"
"47214443","2","0"
"47214412","1","0"
"47214390","3","0"
"47214341","1","0"
"47214309","1","0"
"47214199","1","0"
"47214192","3","0"
"47214173","3","0"
"47214162","1","0"
"47214161","0","1"
"47214138","3","0"
"47214078","1","0"
"47214067","1","0"
"47214046","1","0"
"47214033","1","0"
"47213940","1","0"
"47213917","1","0"
"47213831","1","0"
"47213820","1","0"
"47213819","2","1"
"47213818","3","0"
"47213809","1","0"
"47213754","2","0"
"47213733","1","0"
"47213717","1","0"
"47213633","0","1"
"47213627","1","0"
"47213618","1","0"
"47213609","1","0"
"47213574","3","0"
"47213562","1","0"
"47213534","1","0"
"47213500","1","0"
"47213450","1","0"
"47213447","1","0"
"47213380","1","0"
"47213365","1","1"
"47213297","1","0"
"47213266","1","0"
"47213238","1","0"
"47213196","2","0"
"47213174","2","0"
"47213101","1","0"
"47213099","3","0"
"47212992","3","0"
"47212978","1","0"
"47212928","3","0"
"47212926","1","0"
"47212883","4","0"
"47212866","1","0"
"47212830","2","0"
"47212825","1","0"
"47212794","1","0"
"47212612","1","0"
"47212607","1","0"
"47212443","2","0"
"47212432","1","0"
"47212415","1","0"
"47212357","1","0"
"47212294","2","0"
"47212291","2","0"
"47212288","2","0"
"47212129","1","0"
"47211940","1","0"
"47211892","1","0"
"47211834","1","0"
"47211781","0","1"
"47211751","3","0"
"47211618","1","0"
"47211613","2","0"
"47211585","1","0"
"47211417","2","0"
"47211329","4","0"
"47211309","5","0"
"47211261","2","1"
"47211244","2","0"
"47211232","1","0"
"47211192","1","0"
"47211005","1","0"
"47210975","1","0"
